pais,año,mortalidad_infantil,esperanza_de_vida,fecundidad,poblacion,pib
Bulgaria,1975,29.8,70.9,2.24,8723148,75702645719.0388
Burkina Faso,1975,136.6,46.6,6.91,6147569,5912011369.1132
Burundi,1975,145.7,46.7,7.24,3796612,3482847987.02608
Butan,1975,157.1,48.2,6.62,365791,417594401.89402
Cabo Verde,1975,78,63.3,6.77,305847,355886223.95196
Camboya,1975,178.2,26.8,4.1,6581371,11405624074.9255
Camerun,1975,114.3,49.7,6.4,7397120,16152177547.6224
Canada,1975,14.2,73.6,1.8,23148986,579782980434.725
Catar,1975,37.7,66.9,5.86,193087,19085353063.7867
Chad,1975,130,46.3,6.88,4167234,5957346916.92474
Chile,1975,55.3,66.5,3.18,10671559,70239828473.7285
China,1975,62.6,60.8,3.57,916116793,885803853333.651
Chipre,1975,,69.7,2.11,659405,4654978414.9766
Cisjordania y Gaza,1975,78,65.4,7.48,1279321,4611511517.29513
Colombia,1975,58.4,65.3,4.4,23344644,143533447369.518
Comoras,1975,136.2,55.9,7.16,287692,394807833.00672
Corea del Norte,1975,42,67.2,3.05,16971055,38134030675.4571
Corea del Sur,1975,22.8,65.5,3.31,35875743,144989060077.438
Costa Rica,1975,38,72,3.8,2092719,16581768341.0677
Costa de Marfil,1975,135.1,51.5,7.91,6776297,28682501841.5191
Croacia,1975,,70.5,1.95,4552730,78173009083.5421
Cuba,1975,24.7,73.5,2.82,9479726,58186408123.9374
Dinamarca,1975,10.3,74,1.91,5060400,127193481357.276
Dominica,1975,25.5,72,3.46,71570,246639047.4438
Ecuador,1975,82.5,63.8,5.43,7118251,46819629185.9288
Egipto,1975,143.7,54.6,5.75,38875327,113988255075.256
El Salvador,1975,95.6,60.8,5.71,4120449,20461355805.8867
Emiratos Arabes Unidos,1975,45.9,62.9,6.35,542856,40386945096.102
Eritrea,1975,123.9,36.6,6.59,1408210,1389486989.0419
Eslovenia,1975,,70,2.17,1817598,42777144028.9074
Espana,1975,20.4,73.4,2.77,35795769,580199061939.705
Estados Unidos,1975,16,72.6,1.82,219129301,5831919654593.12
Estonia,1975,,70.1,2.04,1423504,24045787232.991
Etiopia,1975,142.7,43.2,7.08,31723252,28993655235.9819
Filipinas,1975,54.4,64.4,5.6,42120826,145368283019.42
Finlandia,1975,10,71.9,1.68,4711168,96408178811.7325
Fiyi,1975,41.4,65.8,4.1,575906,3016943239.10254
Francia,1975,12.4,73.4,1.94,52746325,1184099871593.21
Gabon,1975,,53.2,5.39,662197,10880066894.629
Gambia,1975,114.4,53.2,6.43,606821,1273455150.53263
Georgia,1975,56.6,65.3,2.55,4979409,57861670949.626
Ghana,1975,111.5,51.7,6.76,10294308,23729895570.9668
Granada,1975,,68,3.75,98126,359834059.08632
Grecia,1975,28.5,74.4,2.42,9016967,143203636781.328
Guatemala,1975,102.9,54.2,6.41,6128731,37258562601.966
Guinea,1975,184.5,44.5,6.37,4653876,6928730612.1336
Guinea Ecuatorial,1975,,43.2,5.79,287901,544905886.91094
Guinea-Bisau,1975,,47,6.15,650966,1063722599.02378
Guyana,1975,54.6,62.6,4.45,745393,3779516518.39168
Haiti,1975,146,47.3,5.75,5099086,12767315784.6023
Honduras,1975,85,60.7,6.87,3193234,9648313486.20568
Hungria,1975,35.8,69.5,2.36,10515652,120621759633.254
India,1975,130.3,49.5,5.2,611309535,854751734587.343
Indonesia,1975,97.8,55.2,5.03,131843848,300276469366.253
Irak,1975,66.2,61.8,6.91,11543639,109498324898.378
Iran,1975,105.8,59,5.95,33802973,404473262406.744
Irlanda,1975,17,71.7,3.37,3180119,45588931840.47
Islandia,1975,10.3,75.2,2.64,218028,4593039765.77172
Islas Marshall,1975,57.5,56.9,7.83,26154,85155319.64916
Islas Salomon,1975,55.1,55.6,6.99,200744,259695398.43264
Israel,1975,22.4,72.3,3.61,3318089,56435329668.2373
Italia,1975,20.5,72.7,2.18,55166045,1110716985725.11
Jamaica,1975,37.8,70.6,4.44,2018981,14134558502.2818
Japon,1975,10,74.5,1.92,113321196,2043937482007.44
Jordania,1975,53.3,64.6,7.93,1899055,8653659135.4523
Kazajistan,1975,63.4,65.2,3.4,13700843,227633305580.467
Kenia,1975,80.7,57,7.8,13511671,28723927667.8955
Kiribati,1975,88.5,61,5.02,60987,464313151.03437
Kuwait,1975,40.5,68.2,6.06,1104863,69914908743.4629
Laos,1975,134,45,6.29,3005521,3445668730.5744
Lesoto,1975,114.6,53.7,5.83,1213643,1242820858.86665
Letonia,1975,,69.9,1.95,2455771,38371117285.7229
Libano,1975,45.4,67,4.52,2693191,22535652469.9209
Liberia,1975,174.2,47,6.74,1670913,8615208947.70222
Libia,1975,72.8,58.6,7.98,2571556,35608510360.6435
Liechtenstein,1975,,74.3,1.9,23198,
Lituania,1975,20.2,71,2.18,3295733,57104725908.3885
Luxemburgo,1975,14.2,70.9,1.56,353680,10946392760.2912
Macedonia del Norte,1975,,68,2.69,1797972,19872369321.9005
Madagascar,1975,99.5,50,6.97,7739336,15828449897.4395
Malasia,1975,34.2,65.9,4.5,11471914,57204588571.749
Malaui,1975,184,43.9,7.36,5287367,5050759124.45478
Maldivas,1975,137.2,54.2,7.32,143158,406303518.37342
Mali,1975,180.9,41.7,7.25,6837261,7563759090.38292
Malta,1975,19,71.9,2.15,333450,2189179361.3625
Marruecos,1975,109.9,54.8,6.3,17150786,49534586265.8162
Mauricio,1975,49.6,64.6,3.2,888023,4428638581.47812
Mauritania,1975,105.1,55.5,6.71,1277330,5061751183.3894
Mexico,1975,66.6,64.6,5.74,58982400,603001656115.2
"Micronesia, Estados Federados de",1975,,56.1,6.88,67428,224933639.68656
Moldavia,1975,44.9,63.8,2.52,3836946,49048327358.5094
Monaco,1975,,73.6,2.35,25500,2206971276.09
Mongolia,1975,,58.3,7.07,1488296,4229783354.29304
Montenegro,1975,,71.8,2.38,557151,6404317552.48194
Mozambique,1975,178,51.4,6.66,9540817,5688619017.87608
Myanmar,1975,109.1,46.1,5.25,30176565,30311637115.5339
Namibia,1975,63.4,53.7,6.53,881032,7430861925.22576
Nauru,1975,,55.9,3.97,6987,460376889.75279
Nepal,1975,159.9,50.7,5.73,13870695,15949540584.5809
Nicaragua,1975,100.3,60.5,6.45,2816943,21886882507.1615
Niger,1975,141.4,40.8,7.54,5317019,6800913292.55372
Nigeria,1975,144.4,48.4,6.77,63410815,222731135746.029
Noruega,1975,10.5,74.9,1.99,4007365,102241645687.376
Nueva Zelanda,1975,14.9,72.4,2.36,3094032,69139457943.8237
Oman,1975,114.2,59.2,7.71,778864,7529145701.98128
Paises Bajos,1975,10.5,74.4,1.67,13680035,338347922477.22
Pakistan,1975,129.4,57,6.81,69461175,116412315688.756
Palaos,1975,,61.8,4.9,12655,800373233.7805
Panama,1975,41.8,71.7,4.41,1732389,12450296937.0027
Papua Nueva Guinea,1975,86.9,57.2,6.07,2814820,7465958957.5014
Paraguay,1975,54.5,68.7,5.18,2691648,12289252428.6336
Peru,1975,91,65.3,5.71,15333957,114332141033.089
Polonia,1975,24.5,71.3,2.28,33964399,340999047927.552
Portugal,1975,36,69.1,2.75,9182302,111186217247.989
Reino Unido,1975,15.4,72.6,1.81,56220143,1117645502962.37
Republica Centroafricana,1975,126,46.7,5.88,2313916,3080661106.2458
Republica Checa,1975,,70.4,2.43,10030774,178178956372.948
Republica Democratica del Congo,1975,140.7,49.2,6.42,23021101,44589675963.5426
Republica Dominicana,1975,74.9,63.7,5.24,5046776,22012647786.906
Republica Eslovaca,1975,,70.3,2.54,4739166,69601842356.5636
Republica Kirguisa,1975,87.9,61.9,4.76,3381363,23811491464.0807
Republica del Congo,1975,79.2,47.8,6.36,1627032,6312300234.48552
Ruanda,1975,144.8,41,8.1,4607728,4495082689.27488
Rumania,1975,42.8,69.8,2.6,21268070,167394922461.706
Rusia,1975,29.9,68.5,2,134136098,2675676399749.94
Samoa,1975,,67.4,6.61,153344,606582555.64544
San Cristobal y Nieves,1975,49.2,65.3,3.68,43606,225265296.33398
San Marino,1975,,74.6,2.05,19046,728278246.51536
San Vicente y las Granadinas,1975,59,67.3,5.17,100387,312527579.0812
Santa Lucia,1975,36.3,66.8,5.36,110725,433161390.788
Santa Sede,1975,,,1,726,
Santo Tome y Principe,1975,58.9,60.9,6.53,86708,273086184.41796
Senegal,1975,108,49,7.25,5170810,13109731279.5777
Serbia,1975,,67.4,1.92,7572438,107761247545.713
Seychelles,1975,39.7,66.8,4.75,61218,361146829.47984
Sierra Leona,1975,177.5,45.2,6.55,2974657,6070298743.81231
Singapur,1975,14.3,70.1,2.08,2268523,29255325201.0237
Siria,1975,59.1,64.5,7.49,7554364,49472574057.8667
Somalia,1975,,52.4,7.03,4257535,5384406718.92105
Sri Lanka,1975,48.7,64.5,3.82,13548984,33163594906.289
Suazilandia,1975,101.6,48,6.71,507673,1605392259.35469
Sudafrica,1975,86.6,59.4,5.19,25690940,213793949894.536
Sudan,1975,91.3,50.5,6.87,14064798,26270922114.4055
Sudan del Sur,1975,,49.2,7.33,3821494,6082008626.65654
Suecia,1975,8.7,75,1.77,8192641,201809273238.171
Suiza,1975,11.2,74.9,1.61,6338600,207823576592.242
Surinam,1975,,68.3,4.63,391170,5490403245.0033
Tailandia,1975,57.6,64.3,4.36,40940005,131263949575.457
Tanzania,1975,118.2,52.7,7.1,16138361,19294229597.3208
Tayikistan,1975,106.7,63.2,6.69,3430425,23255818008.8947
Timor Oriental,1975,,43.7,5.19,598158,814442786.96418
Togo,1975,119.2,49.1,7.09,2574622,4713307741.39522
Tonga,1975,30.4,65.1,5.75,93017,154973438.73067
Trinidad y Tobago,1975,39.5,66.3,3.21,1053469,13374550739.5033
Tunez,1975,94.2,60.1,5.97,5839262,24336534566.773
Turkmenistan,1975,,62.6,6,2494570,24995768115.3388
Turquia,1975,108.8,61.9,5.09,41053126,275006644322.049
Tuvalu,1975,61.7,54.6,3.58,6117,20791550.56695
Ucrania,1975,25,70.5,2.05,48865229,698001019262.527
Uganda,1975,118.4,50.1,7.2,11725240,15035490644.6588
Uruguay,1975,49.4,69.5,3.02,2872320,27855228009.5232
Uzbekistan,1975,,66.4,5.92,13598521,98142911645.539
Vanuatu,1975,64.6,61.2,5.98,100269,245639234.84022
Venezuela,1975,41.7,67,4.69,13215892,172311732370.276
Vietnam,1975,51.8,61.4,5.62,46482903,56373985984.4991
Yemen,1975,181.2,51.5,8.37,8133598,17063532179.386
Yibuti,1975,,58.5,6.74,209908,1432722553.57248
Zambia,1975,96.3,49.7,7.42,4990086,11475473825.0887
Zimbabue,1975,70.3,59.3,6.83,6098658,21434972666.3324
Afganistan,1976,182.6,55.8,7.56,13059851,30317531343.5136
Albania,1976,60.8,70.1,4.37,2510580,10745121496.9278
Alemania,1976,16.5,72,1.49,78364505,1829405284772.52
Andorra,1976,,76.8,2.21,29436,1542636167.41608
Angola,1976,,45.2,7.49,7074664,26822372067.5252
Antigua y Barbuda,1976,,69.8,2.78,63762,430161348.29658
Arabia Saudita,1976,88.2,59.2,7.33,4807933,239713585083.596
Argelia,1976,124,55.9,7.41,16409170,101094940068.753
Argentina,1976,50.5,66.8,3.32,26282283,404689802110.986
Armenia,1976,70.8,68.8,2.84,2818165,24599411338.9126
Australia,1976,13.5,72.6,2.06,14046755,325863726074.471
Austria,1976,18.1,71.7,1.68,7564457,176673000453.788
Azerbaiyan,1976,,62.5,4.12,5791041,57509063988.2698
Bahamas,1976,26.9,67.6,3.3,214501,3771305923.29883
Banglades,1976,143.5,51,6.66,79855318,93177734024.1506
Barbados,1976,30,70.2,2.24,251442,2742834851.12088
Barein,1976,35,66.6,5.45,297863,4981724519.04979
Belgica,1976,14.9,72.2,1.74,9758901,234428646940.362
Belice,1976,57.3,69.5,6.25,133099,502515627.21235
Benin,1976,140.1,49.3,6.83,3532196,6296082819.54204
Bielorrusia,1976,,71.6,2.09,9380086,98856202663.7986
Bolivia,1976,124.5,54.7,5.74,5256496,26443788037.6555
Bosnia y Herzegovina,1976,,68.5,2.31,4004552,15339172215.659
Botsuana,1976,66.3,56,6.6,758508,1897577015.47512
Brasil,1976,87.3,63.9,4.34,110213349,931938824857.21
Brunei,1976,,67.3,4.78,163607,24937849345.6007
Bulgaria,1976,29,70.9,2.25,8759438,78534957614.4084
Burkina Faso,1976,131.9,46.9,6.95,6280635,5805209960.82405
Burundi,1976,144.8,46.9,7.25,3882626,3830118957.85266
Butan,1976,152.4,48.8,6.62,378490,453420785.6304
Cabo Verde,1976,73.3,63.7,6.71,309455,361514568.23175
Camboya,1976,166.4,26.6,3.41,6134991,11377721976.4908
Camerun,1976,114.2,49.9,6.45,7597962,15811780760.8502
Canada,1976,13.3,73.9,1.75,23455781,609447868832.322
Catar,1976,35.8,67.3,5.78,209052,21162240241.9884
Chad,1976,129.4,45.9,6.89,4251297,5882047297.29033
Chile,1976,48.8,66.9,3.08,10838251,72106905471.1195
China,1976,59.1,60.7,3.24,930372292,838181822534.118
Chipre,1976,,70.2,2.33,662032,5584321687.57232
Cisjordania y Gaza,1976,73.7,65.9,7.44,1316395,5266423875.01475
Colombia,1976,55.6,66.1,4.29,23858810,149354205152.633
Comoras,1976,133,56.4,7.16,297538,396416274.467
Corea del Norte,1976,40,67.6,2.84,17243450,39446899589.9335
Corea del Sur,1976,19.9,65.8,3.12,36379925,162067766999.093
Costa Rica,1976,33.2,72.7,3.75,2147774,17389909645.3843
Costa de Marfil,1976,129.7,52.1,7.88,7057958,32112219459.1233
Croacia,1976,,70.7,1.94,4571750,81806779931.945
Cuba,1976,23.1,73.5,2.51,9571242,59937392583.9358
Dinamarca,1976,9.7,74.1,1.75,5072805,134428525163.084
Dominica,1976,22.4,72.7,3.19,72017,265980476.84142
Ecuador,1976,79.5,64.4,5.28,7320912,50642274274.8466
Egipto,1976,138,55.4,5.73,39795557,130661741217.691
El Salvador,1976,92.7,61.3,5.59,4210310,21174060968.8335
Emiratos Arabes Unidos,1976,41.9,63.4,6.29,615866,46084336697.801
Eritrea,1976,121.6,37,6.6,1443807,1394201530.94013
Eslovenia,1976,,70.2,2.2,1834357,43846525382.9543
Espana,1976,20.4,73.7,2.76,36176280,601997447952.188
Estados Unidos,1976,15.2,72.9,1.79,221168758,6095560902992.74
Estonia,1976,,69.9,2.06,1434871,24601200891.4489
Etiopia,1976,143.1,42.9,7.13,32534418,29326508117.991
Filipinas,1976,54.3,63.9,5.51,43201488,156773312135.648
Finlandia,1976,9.4,72.1,1.7,4725337,95882804253.6891
Fiyi,1976,40.6,66,4.12,585534,3048625374.45384
Francia,1976,12,73.6,1.83,52959113,1227579141492.17
Gabon,1976,,54.3,5.46,677628,14590485890.8074
Gambia,1976,112.1,53.6,6.43,625667,1258466678.88004
Georgia,1976,55,65.6,2.51,5015921,58988004264.5406
Ghana,1976,108.7,52,6.7,10594913,22976827807.9563
Granada,1976,,68.2,3.6,97632,393191435.1312
Grecia,1976,27.3,74.4,2.42,9160209,152966121238.235
Guatemala,1976,99.9,48.6,6.37,6262404,39692333149.2251
Guinea,1976,181.9,44.5,6.4,4727022,7527383479.80276
Guinea Ecuatorial,1976,,43.8,5.79,281031,559644357.75444
Guinea-Bisau,1976,136.3,47.2,6.19,694191,1139429134.06509
Guyana,1976,54.4,62.6,4.28,752253,3857731479.89775
Haiti,1976,142.6,47.6,5.71,5198357,13877034596.9937
Honduras,1976,81.7,61.4,6.81,3294457,10592969133.7492
Hungria,1976,32.5,69.6,2.25,10573772,122722600260.354
India,1976,127.2,50,5.13,625861883,860595894683.326
Indonesia,1976,95.1,55.8,4.92,135173655,320915686472.624
Irak,1976,63.6,63.8,6.86,11927651,132059848655.039
Iran,1976,100.5,59.6,6.07,34837271,475636468082.168
Irlanda,1976,16.2,71.9,3.29,3228401,46060932107.6655
Islandia,1976,9.8,75.7,2.52,220190,4842022285.5273
Islas Marshall,1976,56.7,57.4,7.76,27021,85054067.09082
Islas Salomon,1976,51.9,57.4,6.95,207194,295156828.64408
Israel,1976,20.3,72.8,3.62,3398267,56498904362.1944
Italia,1976,18.7,72.9,2.06,55459416,1182642940543.89
Jamaica,1976,36.7,70.9,4.21,2045578,13186041318.7273
Japon,1976,9.4,74.9,1.84,114502795,2106276317101.61
Jordania,1976,51.2,65.1,7.83,1958177,10228458292.495
Kazajistan,1976,62.4,65.3,3.33,13998738,232074175364.82
Kenia,1976,78.4,57.5,7.77,13957623,29759376700.3216
Kiribati,1976,87.7,61.5,4.96,60661,329753675.2219
Kuwait,1976,38.2,68.6,5.9,1178711,75773171177.4957
Laos,1976,132.6,45.5,6.29,3064876,3564161923.437
Lesoto,1976,110.4,54,5.87,1253214,1437307051.12236
Letonia,1976,,69.8,1.91,2470537,39019514059.8787
Libano,1976,44.6,44,4.39,2726469,9742700743.34292
Liberia,1976,171.3,47.3,6.79,1717060,8999564008.3336
Libia,1976,69,59.6,7.93,2721237,45172731652.9567
Liechtenstein,1976,,74.6,1.91,23587,
Lituania,1976,20.1,70.9,2.17,3324568,58115375260.4017
Luxemburgo,1976,13.4,71.2,1.5,355872,11231176287.9254
Macedonia del Norte,1976,,68.4,2.62,1825830,20833882897.2525
Madagascar,1976,100.8,50.2,6.95,7976831,15313699594.4228
Malasia,1976,32.4,66.4,4.4,11750097,63836524709.0344
Malaui,1976,177.5,43.9,7.39,5443384,5264877584.34048
Maldivas,1976,130.3,54.5,7.29,147525,406561233.88125
Mali,1976,176.9,42,7.27,6960979,8531833407.54967
Malta,1976,17.9,72.1,2.13,335286,2553830991.32238
Marruecos,1976,107.1,55.5,6.18,17574182,54629720131.5275
Mauricio,1976,44.1,64.9,3.13,899852,5325264502.80796
Mauritania,1976,103.6,55.8,6.73,1315336,5514537446.16896
Mexico,1976,64.7,65.1,5.54,60645512,628346022993.894
"Micronesia, Estados Federados de",1976,,56.7,6.82,69049,226181028.00628
Moldavia,1976,43.8,64.1,2.47,3881030,50173628513.9298
Monaco,1976,,73.9,2.33,25895,2378761584.9691
Mongolia,1976,,58.5,6.93,1531945,4453692579.32745
Montenegro,1976,,71.9,2.35,562630,6821123381.9058
Mozambique,1976,177.2,51.4,6.64,9867209,5789264196.4575
Myanmar,1976,106.8,46.7,5.16,30758811,31717178653.7325
Namibia,1976,63.6,54.3,6.49,906566,7524851542.0532
Nauru,1976,,56.2,3.9,7064,445347988.75528
Nepal,1976,156.2,50.7,5.72,14177649,16569185305.7504
Nicaragua,1976,95.9,61.1,6.37,2903851,23062296713.3917
Niger,1976,140.5,40.8,7.56,5464962,6839687236.05234
Nigeria,1976,139.9,48.9,6.81,65258009,244234602948.257
Noruega,1976,9.9,75.1,1.87,4026220,108135851380.535
Nueva Zelanda,1976,14.4,72.5,2.27,3126633,69982731544.8158
Oman,1976,107.1,60.3,7.74,814701,8603177335.03794
Paises Bajos,1976,10.1,74.6,1.63,13786637,352820180625.062
Pakistan,1976,127.7,57.4,6.81,71620254,121904066564.277
Palaos,1976,,62.1,4.53,12598,578412572.02706
Panama,1976,40.3,72.4,4.26,1776935,12638577558.2008
Papua Nueva Guinea,1976,84.6,57.7,6.02,2877327,7274824692.8598
Paraguay,1976,53.6,69.1,5.12,2758836,13180870286.6369
Peru,1976,88.9,66.9,5.58,15716809,115038892714.533
Polonia,1976,23.9,71.1,2.31,34296607,356978823353.329
Portugal,1976,32.7,69.3,2.81,9310256,117902987455.708
Reino Unido,1976,14.7,72.7,1.74,56201138,1138115486475.39
Republica Centroafricana,1976,124.2,46.9,5.94,2348566,3165230013.41514
Republica Checa,1976,,70.6,2.39,10092938,186254749831.515
Republica Democratica del Congo,1976,138.9,49.5,6.44,23624031,42232987567.3433
Republica Dominicana,1976,72.6,64.1,5.05,5180404,23502382683.8147
Republica Eslovaca,1976,,70.4,2.54,4788510,70859264498.9943
Republica Kirguisa,1976,86.1,62.3,4.68,3447005,24139818713.8521
Republica del Congo,1976,77.6,48.4,6.32,1667225,6592467503.6885
Ruanda,1976,147.5,41.3,8.12,4745954,5282354297.8581
Rumania,1976,41,69.8,2.55,21497683,181170613127.173
Rusia,1976,29.2,68.2,1.99,135080690,2780789947007.55
Samoa,1976,,67.7,6.47,157113,671769397.41615
San Cristobal y Nieves,1976,47.8,65.2,3.59,43482,236743115.11362
San Marino,1976,,74.8,1.95,19110,780129891.8049
San Vicente y las Granadinas,1976,57.3,67.8,4.95,101197,343120319.1475
Santa Lucia,1976,33.4,67.2,5.16,112425,515893891.67475
Santa Sede,1976,,,1,734,
Santo Tome y Principe,1976,59.2,61.4,6.52,88922,276007121.92502
Senegal,1976,104.3,49.3,7.26,5308564,14247513977.2258
Serbia,1976,,67.6,1.91,7622703,114049521328.606
Seychelles,1976,36.6,67.4,4.09,62743,421256323.18245
Sierra Leona,1976,175.3,45.4,6.55,3028820,6011304324.1468
Singapur,1976,13,70.5,2.09,2300743,31466608415.9286
Siria,1976,56.4,64.9,7.45,7817320,54001525848.3148
Somalia,1976,,52.6,7.02,4365812,4912300814.43332
Sri Lanka,1976,47.3,65.3,3.78,13796770,34021415684.2378
Suazilandia,1976,97.7,48.6,6.7,523330,1807892944.9183
Sudafrica,1976,82.6,59.8,5.07,26395450,218681889402.851
Sudan,1976,90.6,50.8,6.82,14569716,30920227193.8728
Sudan del Sur,1976,,49.2,7.33,3921910,5544805260.7357
Suecia,1976,8.3,75.1,1.68,8222395,202817943483.596
Suiza,1976,10.4,75.1,1.55,6302555,206339723273.074
Surinam,1976,,68.4,4.45,388289,6001998045.32196
Tailandia,1976,55.2,65.6,4.12,41896504,142291240520.073
Tanzania,1976,116.1,53.2,7.09,16736211,20696308979.314
Tayikistan,1976,104.3,63.6,6.6,3540076,23421918906.8615
Timor Oriental,1976,,45.7,5.12,607620,863570658.795
Togo,1976,116.6,49.7,7.06,2637796,4669274120.10304
Tonga,1976,29,65.3,5.73,95325,157798630.45425
Trinidad y Tobago,1976,38.5,66.6,3.14,1066311,14233577411.1736
Tunez,1976,88.6,60.9,5.87,5996994,26142195974.8102
Turkmenistan,1976,,62.8,5.9,2558521,25177508169.1226
Turquia,1976,105.2,62.2,4.93,41899984,300352513837.872
Tuvalu,1976,59.5,54.9,3.55,6404,21640161.83724
Ucrania,1976,24.6,70.3,2.04,49120842,715147828111.765
Uganda,1976,120.9,50.4,7.19,12037294,14960343565.6973
Uruguay,1976,48.6,69.6,3.01,2891392,28880669425.7088
Uzbekistan,1976,,66.4,5.75,13998620,98705872881.9486
Vanuatu,1976,62.3,61.6,5.89,103388,249532052.60436
Venezuela,1976,40.5,67.5,4.59,13606284,184011051734.168
Vietnam,1976,50.9,63.8,5.46,47684931,63894043291.5469
Yemen,1976,173.1,52.2,8.42,8384113,19415465830.839
Yibuti,1976,131,58.8,6.69,230737,1592453235.52757
Zambia,1976,95.3,50.3,7.39,5143842,11966784486.1785
Zimbabue,1976,70.1,59.2,6.77,6287105,21399537737.5582
Afganistan,1977,178.7,55.9,7.59,13340756,29006171151.0371
Albania,1977,58.6,70.5,4.2,2566599,11059796993.8466
Alemania,1977,15.5,72.6,1.5,78185559,1877455761121.22
Andorra,1977,,77.1,2.03,31097,1632432225.75103
Angola,1977,,45.5,7.48,7317829,27656993336.244
Antigua y Barbuda,1977,,69.9,2.78,63862,458781867.68158
Arabia Saudita,1977,83.4,60,7.3,5083048,270106121294.881
Argelia,1977,119,56.9,7.31,17015994,111522126850.086
Argentina,1977,47.2,67.8,3.36,26701805,428678144498
Armenia,1977,68.3,69.2,2.74,2912827,24963846328.662
Australia,1977,12.7,73.1,2.02,14203508,326965486492.872
Austria,1977,16.6,72,1.62,7567336,184857479631.268
Azerbaiyan,1977,,62.8,3.98,5937641,59153637903.6246
Bahamas,1977,26.6,67.7,3.17,219157,4081894079.15339
Banglades,1977,141.4,51.3,6.58,81867264,94633203883.607
Barbados,1977,28.3,71.3,2.2,251626,2812313058.88114
Barein,1977,32.6,67.2,5.29,312823,5558032297.38169
Belgica,1977,14.1,72.6,1.73,9774014,234880680714.034
Belice,1977,55.6,69.8,6.2,135887,523573051.27388
Benin,1977,136.7,49.6,6.83,3623202,6533076287.37258
Bielorrusia,1977,,71.4,2.06,9434943,100969460114.686
Bolivia,1977,121.3,55.5,5.67,5379166,27566717915.9785
Bosnia y Herzegovina,1977,,68.8,2.2,4042124,16319078013.3756
Botsuana,1977,63.2,56.7,6.54,799574,2116066914.0246
Brasil,1977,84.7,64.7,4.27,112875292,974631752417.482
Brunei,1977,,67.7,4.58,169277,27459659906.4963
Bulgaria,1977,28.1,70.8,2.21,8804686,80041537970.7704
Burkina Faso,1977,127.4,47.2,7.05,6428734,6166024363.67606
Burundi,1977,143,47.3,7.25,3983582,4162649866.76554
Butan,1977,147.8,49.4,6.61,391639,487374182.28528
Cabo Verde,1977,69.5,64.3,6.65,312834,340777086.80994
Camboya,1977,155.4,26.4,2.72,5668551,10418673163.5882
Camerun,1977,113.9,50.1,6.51,7796501,17276708861.4017
Canada,1977,12.5,74.2,1.73,23730340,626565632089.523
Catar,1977,34,67.6,5.69,225285,19776646295.5019
Chad,1977,128.8,46,6.9,4331667,5447286493.03323
Chile,1977,41.7,67.7,2.98,11005519,78550608288.819
China,1977,55.8,61.5,2.84,943546375,865897980906.475
Chipre,1977,,70.9,2.09,667101,6509158942.68948
Cisjordania y Gaza,1977,69.8,66.4,7.38,1352713,5154888643.11714
Colombia,1977,52.8,67.1,4.16,24393494,154750418852.639
Comoras,1977,129.6,57,7.15,307579,401819117.13859
Corea del Norte,1977,38,67.9,2.77,17492798,40796502328.423
Corea del Sur,1977,17.4,65.9,2.95,36843637,179685034907.303
Costa Rica,1977,28.1,73.3,3.7,2205025,18831686074.6092
Costa de Marfil,1977,124.7,52.5,7.83,7321950,33517026780.2325
Croacia,1977,,71,1.95,4590623,89089273882.7249
Cuba,1977,20.8,73.5,2.21,9648440,62819872849.0848
Dinamarca,1977,9.2,74.4,1.66,5088572,136214916896.223
Dominica,1977,19.9,73.3,3.02,72406,274886985.25764
Ecuador,1977,76.5,64.9,5.13,7526819,52388255172.9461
Egipto,1977,132.1,56,5.68,40748870,143720584391.36
El Salvador,1977,89.6,61.5,5.47,4301256,22359041465.9398
Emiratos Arabes Unidos,1977,38.2,63.9,6.22,710209,54835677269.2946
Eritrea,1977,119.5,37.5,6.61,1482565,1403339068.8527
Eslovenia,1977,,70.3,2.17,1851321,47155604183.6163
Espana,1977,19.7,74.1,2.65,36551270,619430511779.35
Estados Unidos,1977,14.5,73.3,1.83,223259419,6325646806949.52
Estonia,1977,,69.7,2.06,1446564,25172767176.0323
Etiopia,1977,143.4,43.1,7.19,33167272,29320961309.6124
Filipinas,1977,54.2,64.3,5.44,44367962,164351154177.851
Finlandia,1977,8.7,72.6,1.68,4738584,95662495030.3829
Fiyi,1977,39.5,66.1,4.11,597805,3200294565.61815
Francia,1977,11.5,74.1,1.87,53197137,1264407985555.94
Gabon,1977,,55.2,5.52,693984,12831795888.9485
Gambia,1977,109.8,54.1,6.43,645770,1280280735.2843
Georgia,1977,53.5,66.1,2.44,5053551,60146382551.8603
Ghana,1977,106,52.3,6.64,10911871,23635231307.1565
Granada,1977,,68.4,3.46,97017,417170418.45012
Grecia,1977,25.9,74.6,2.38,9282021,157452874417.657
Guatemala,1977,96.8,56.8,6.32,6401515,42468697477.7783
Guinea,1977,179.1,44.7,6.43,4801128,7319801189.1384
Guinea Ecuatorial,1977,,44.3,5.8,276779,582343201.44193
Guinea-Bisau,1977,135.3,47.3,6.25,741789,1115258457.31992
Guyana,1977,54.1,62.7,4.12,758654,3746060486.47454
Haiti,1977,139.2,47.8,5.67,5299476,13971600053.3164
Honduras,1977,78.5,62.2,6.73,3398655,11615323196.3925
Hungria,1977,29.4,69.6,2.16,10623139,130449660043.16
India,1977,124,50.6,5.01,640801103,918001144611.7
